"CoP","CoPyear","CoPcity","Status","Delegation","URL","Honorific","PersonID","Affiliation","AffiliationStatus","CoPlatitude","CoPlongitude","Latitude","Longitude","GeoPrecision","Distance","Party","Observer","Female","Male","DelegationCOW","Delegation_ISO"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Zimbabwe","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","16540888613919592425876590514","Harare, Harare, Zimbabwe","City",-17.8567035,31.0601584,"-17.83","31.05","city","3.1579773128287",1,0,0,1,552,"ZWE"
"CoP15",2010,"Doha (Qatar)","Parties","Netherlands","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","46604380609651157550998165859","Doha, Qatar","City",25.2856329,51.5264162,"25.29","51.53","city","0.604675549195918",1,0,0,1,210,"NLD"
"CoP14",2007,"The Hague (the Netherlands)","Parties","Namibia","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","8797851323209721589219258578","Windhoek, Khomas, Namibia","City",52.0799838,4.3113461,"-22.53","17.05","city","8388.39975462922",1,0,0,1,565,"NAM"
"CoP4",1983,"Gaborone (Botswana)","Parties","Botswana","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Parties.pdf","NA","6891332782818379389303743593","Gaborone, Botswana","City",-24.6581357,25.9088474,"-24.64","25.96","city","5.54902421266238",1,0,0,1,571,"BWA"
"CoP7",1989,"Lausanne (Switzerland)","Parties","Australia","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","65110513326083961504966523391","Ecology International AVALON NSW","KeptOriginal",46.5218269,6.6327025,"-33.87","151.21","city","16729.8207090215",1,0,0,1,900,"AUS"
"CoP16",2013,"Bangkok (Thailand)","Parties","China","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","75320834825786583936178992508","Dongcheng District, Beijing, China","City",13.7524938,100.4935089,"39.93","116.41","city","3299.34345684521",1,0,0,1,710,"CHN"
"CoP7",1989,"Lausanne (Switzerland)","Observers","Traffic International","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Observers.pdf","NA","26909809354769610596695291181","Cambridge, England, United Kingdom","City",46.5218269,6.6327025,"52.21","0.12","city","788.287141994822",0,1,0,1,NA,NA
"CoP5",1985,"Buenos Aires (Argentina)","Parties","Egypt","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","20843271759178010416853085802","Buenos Aires, Autonomous City of Buenos Aires, Argentina","City",-34.6083696,-58.4440583,"-34.61","-58.39","city","4.95065314155539",1,0,0,1,651,"EGY"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Botswana","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","61718026556977493694626401961","Gaborone, Botswana","City",26.1223084,-80.1433786,"-24.66","25.91","city","12694.428872559",1,0,1,0,571,"BWA"
"CoP12",2002,"Santiago (Chile)","Parties","Eswatini","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","73158386834945357537897799212","Big Game Parks CITES Management Authority and Scientific Authority MALKERNS","KeptOriginal",-33.4377756,-70.6504502,"-26.5","31.2","state_province","9417.34569871004",1,0,0,1,572,"SWZ"
